"File";"created/VBN by/IN ([A-z]*)/NN ([A-z]*)/NN";"created/VBN by/IN [A-z]*/NN [A-z]*/NN \(/-LRB- and/CC ([A-z]*)/JJ ([A-z]*)/NN";"screenwriter[s]?/NN[S]? ([A-z]*)/(?:NN[S]?|JJ) ([A-z]*)/(?:NN|JJ)";"cinematographer/NN(?: ,/,)? ([A-z]*)/NN ([A-z]*)/NN";"cinematographer/NN(?: ,/,)? ([A-z]*)/NN ([A-z]*)/IN ([A-z]*)/NN";"oscar/NN winner/NN ([A-z]*)/VBG ([A-z]*)/NNS";"\(/-LRB- ([A-z]*)/...? ([A-z]*)/...? ?.*? \)/-RRB-";"of/...? a/...? ([A-z]*)/...? ([A-z]*)/...?";"([A-z]*)/...?'s"
"cv000_29590.txt";"alan moore";"eddie campbell";"terry hayes";"peter deming";;"martin childs";"ghost world, robbie coltrane, johnny depp, heather graham, vertical limit, at times, both color, shakespeare in, joe gould";;"there, hell, london, hell, hell, gould"
"cv001_18431.txt";;;;;;;"perhaps even, reese witherspoon, _election _, matthew broderick, _rushmore _, the high";;"everybody, paul, paul, campbell, tracy, there, there"
"cv002_15918.txt";;;;;;;;"discount book, better word";"person"
"cv003_11664.txt";;;;;;;"roy scheider, richard dreyfuss, robert shaw, all nicknamed";"robert redford";"shark, hitchcock, what, movie, shaw, mankind, spielberg, movie"
"cv004_11636.txt";;;;;;;"chan directs, one of";;"chan, film, villain"
"cv005_29443.txt";;;;;;;"eriq ebouaney, maka kotto, during the";"newly independent, patriot remains";"lumumba, nation, country, , , lumumba, patrice"
"cv006_15448.txt";;;;;;;"edward furlong, jennifer lien";;"kaye, norton, derek, that, danny"
"cv007_4968.txt";;;;;;;"catherine o";"door knob, woody allen";"betsy, betsy, betsy, alda, ringwald, ringwald, bride, groom, ringwald, walsh, film, lapaglia, what, lapaglia, alda, bride, alda, alda"
"cv008_29435.txt";;;;;;;"rudi delhem, maka kotto";;"congo, country, lumumba, peck, peck, character, lumumba, peck"
"cv009_29592.txt";;;;;;;"actually a, rongguang yu, yen chi";"kung fu, joke than, masterpiece like";", hollywood, monkey"
"cv010_29198.txt";;;;;;;"john cleese, lanai chapman, rowan atkinson, jon lovitz, seth green, breckin meyer, dean cain, dave thomas";"dozing society";"film, let, baby"
"cv011_12166.txt";;;;;;;"even though, likely thousands, think face, that being";"heavenly agent, hospital patient";"patient, seth"
"cv012_29576.txt";;;;;;;"hope davis, whose death";;"bobby, bobby, carol, movie, movie"
"cv013_10159.txt";;;;;;;"djimon hounsou";"long courtroom";"today, cinque, spielberg"
"cv014_13924.txt";;;;;;;"samuel l, kevin spacey, david morse";;"moment, gray, roman, captain, roman, jackson"
"cv015_29439.txt";;;;;;;"or past, and the, zakk wylde";"young man";"that, film"
"cv016_4659.txt";;;;;;;"at the, kenneth cope";"gang of";"hospital, matron, windsor"
"cv017_22464.txt";;;;;;;"capone and";;"capone, film, , capone"
"cv018_20137.txt";;;;;;;"bob hoskins, stubby kaye, and eventually, christopher lloyd, although some";;"roger, roger, who"
"cv019_14482.txt";;;;;;;"adapted from, elizabeth hurley, burroughs take";;"there, there, there, there, boyle, stahl, stahl, author, norristown, that"
"cv020_8825.txt";;;;;;;"forrest gump, broken arrow";"young kidnapped";"howard, tom"
"cv021_15838.txt";;;;;;;"which provides, a friend, most of, patrick stewart, brent spiner";"long episode, deal that";"enterprise, that"
"cv022_12864.txt";;;;;;;"leslie mann, you wo";;", guy, carrey, airplane, that"
"cv023_12672.txt";;;;;;;"not outright, oliver platt, graham beckel, although the, though he, although the";;"bulworth, beatty, who, that, beatty"
"cv024_6778.txt";;;;;;;"thandie newton, the character, he reveals";"drug dealer, man who";"year, year, year, , character, reper, mcdonald, stretch, film, stretch, spoon, d"
"cv025_3108.txt";;;;;;;"brian o, a reported, universal solider";"failed bastille, similar scene";"film, avary, who, , kellogg, there"
"cv026_29325.txt";;;;;;;"the war";;", that"
"cv027_25219.txt";;;;;;;"and in, who would, played by, played by, played by, played by, played by, based on";"film that, film genius, criminal to";"coppola, coppola, tommy, henry, viewer, character, narrator, movie, liotta"
"cv028_26746.txt";;;;;;;"dan myrick, jeffrey donovan";;"parr, burwell"
"cv029_18643.txt";;;"alex proyas";;;;"a la, a process, mediocre performances";"man who, plot begins";"there, what, there, john, what, film, city, film, film, that, there"
"cv030_21593.txt";;;;;;;"alan rickman, kevin smith, and very, salma hayek, chris rock, bartleby is, damon steals, a cardinal, not one, which follows, i felt";;"dogma, who, bethany, smith, film, dogma, dogma, loki, christ, scorsese, picture, there, smith, scorsese, dogma, that"
"cv031_18452.txt";;;;;;;"the professional, jingle all, it appears, the desert, the cloud, if you, pernilla august, one level";"peaceful planet";"schindler, one, amidala, there, portman, mcgregor, jinn, that, film, vader, audience, leia, what, there, that, lloyd, that, anakin, there, gon"
"cv032_22550.txt";;;;;;;"police officer, a congratulations";;"soldier, steiger, jewison, "
"cv033_24444.txt";;;;;;;"played by, dead man, the monotonous, maybe it, that being, a droll, be it, an early";"blind dog";", grady, that, that"
"cv034_29647.txt";;;;;;;"so secret, why not, more zoolander, with david";;"there, there, dick, zoolander"
"cv035_3954.txt";;;;;;;"who was";"ouija board";"mizrahi, audience, that"
"cv036_16831.txt";;;;;;;"fernanda montenegro, _la promesse_";;
"cv037_18510.txt";;;;;;;"which is, people that, liam neeson, natalie portman, although director";"film has, saga that";"movie, actor"
"cv038_9749.txt";;;;;;;;;", film, diaz"
"cv039_6170.txt";;;;;;;"johnathon schaech, ethan embry, liv tyler";;"group, there, film, film, there"
"cv040_8276.txt";;;;;;;"i call, not exactly, including his, this film";"courtroom drama, lot more";"doctor, mcgann, who, sister, lee"
"cv041_21113.txt";;;;;;;"kevin spacey, thora birch, allison janney, wes bentley, mena suvari, fall has";"man as, life that";"n, burnham, year, daughter, spacey, bentley"
"cv042_10982.txt";;;;;;;"matt damon, robin williams";;"that, that, will, lambeau, lambeau, will, lambeau, sean, that"
"cv043_15013.txt";;;;;;;"fox searchlight, jeff daniels, in his";;"there, hollywood, there, hackman, there"
"cv044_16969.txt";;;;;;;;"scientist and, peak in";"that, , jock, that, snake, soldier"
"cv045_23923.txt";;;;;;;"paul campbell, winston bell, while he, jamaican film, mark danvers, beyond the, half of, largely because, who have, who plays, that i, bringing in, the company, if only";;"woo, cop"
"cv046_10188.txt";;;;;;;"opening soon";;"that, kevin, brother, kevin, movie, culkin, kevin"
"cv047_1754.txt";;;;;;;"john goodman";;"dante"
"cv048_16828.txt";;;;;;;"played by, that is";"single white";
"cv049_20471.txt";;;;;;;;;
